ufcstats_id,first_name,last_name,full_name,nickname,height,weight,reach,stance,wins,losses,draws,date_of_birth,sig_strikes_landed_per_minute,sig_strike_accuracy,sig_strikes_absorbed_per_minute,sig_strike_defence,avg_takedowns_per_15_minutes,takedown_accuracy,takedown_defence,avg_submission_attempts_per_15_minutes
8f382b3baa954d2a,Jessica,Aguilar,Jessica Aguilar,Jag,"5' 3""",115,63,Orthodox,20,8,0,"May 08, 1982",4.93,50,7.19,53,0.94,25,50,0.2
cf946e03ba2e7666,Kevin,Aguilar,Kevin Aguilar,Angel of Death,"5' 7""",155,73,Orthodox,17,5,0,"Sep 07, 1988",3.96,40,4.81,52,0.16,16,78,0.0
c051c2e12d692b8a,Jesus,Aguilar,Jesus Aguilar,,"5' 4""",125,62,Orthodox,8,2,0,"Mar 13, 1996",1.6,48,0.92,65,2.77,37,0,1.8
ae071698e1a3ccd4,Christian,Aguilera,Christian Aguilera,The Beast,"5' 9""",170,72,Switch,14,8,0,"Nov 25, 1991",2.54,37,4.04,48,0.0,0,60,0.0
0978385b2bd9ef9b,Nick,Aguirre,Nick Aguirre,Slick,"5' 9""",145,74,Southpaw,7,1,0,"Jan 15, 1996",0.93,31,3.13,44,0.0,0,33,1.0
9e3dbb9c68ed5d1a,Mike,Aina,Mike Aina,Iron,"5' 9""",155,--,Orthodox,14,6,1 (1 NC),--,2.87,33,6.33,59,0.0,0,71,0.0
49dea784f6cfed71,Ashiek,Ajim,Ashiek Ajim,Peak Physique,"5' 8""",135,71,Switch,6,2,0,"Jun 19, 1994",5.0,40,11.25,25,0.0,0,0,0.0
2eada40ac8801559,Hitomi,Akano,Hitomi Akano,Girlfight Monster,"5' 4""",135,--,Southpaw,18,10,0,"Jul 27, 1974",0.59,45,2.58,55,0.0,0,8,0.5
16690d100f995f8f,Omari,Akhmedov,Omari Akhmedov,Wolverine,"6' 0""",185,73,Orthodox,21,6,1,"Oct 12, 1987",2.97,34,2.84,55,2.58,45,65,0.2
b0550072e5f0afa7,Yoshihiro,Akiyama,Yoshihiro Akiyama,,"5' 10""",170,75,Orthodox,14,6,0 (2 NC),"Jul 29, 1975",3.1,41,3.62,57,2.29,67,92,1.0
1fc64507a0cb38cf,Rostem,Akman,Rostem Akman,,"5' 10""",170,72,Switch,6,2,0,"Dec 19, 1991",1.8,25,3.97,57,1.0,40,87,0.0
38b50fd1e1b5b656,Razak,Al-Hassan,Razak Al-Hassan,,"6' 2""",205,--,Orthodox,13,5,0,"May 14, 1982",3.27,39,3.14,60,0.65,14,57,0.0
597499ac7a5aac62,Abdul-Kareem,Al-Selwady,Abdul-Kareem Al-Selwady,Pride of Palestine,--,155,--,,14,3,0,"Apr 10, 1995",0.0,0,0.0,0,0.0,0,0,0.0
1cf1310684a841f5,Mostapha,Al-Turk,Mostapha Al-Turk,,"6' 2""",245,77,Orthodox,6,6,0,"Jul 14, 1973",1.36,19,3.61,53,0.0,0,0,0.0
7578cc6bd750206b,Herdem,Alacabek,Herdem Alacabek,,"6' 2""",205,75,Orthodox,5,1,0,"Jun 07, 1991",3.84,65,6.66,23,2.06,50,42,0.0
2144954270be834d,Javi,Alanis,Javi Alanis,,"5' 6""",135,--,,0,4,0,--,0.0,0,0.0,0,0.0,0,0,0.0
1897b7b913736a7c,Alatengheili,,Alatengheili,The Mongolian Knight,"5' 5""",135,66,Orthodox,16,8,2,"Dec 14, 1991",2.94,33,4.58,61,1.78,39,72,0.0
6d35bf94f7d30241,Amir,Albazi,Amir Albazi,The Prince,"5' 5""",125,68,Orthodox,16,1,0,"Oct 27, 1993",3.54,43,2.47,61,2.47,50,66,0.8
9b28292abe3166d5,Brett,Albee,Brett Albee,,--,225,--,,3,2,0,--,0.0,0,0.0,0,0.0,0,0,0.0
7bd94b60d7521e4a,John,Albert,John Albert,Prince,"5' 8""",135,68,Orthodox,6,5,0,"Oct 13, 1986",3.05,49,2.82,35,0.0,0,50,6.1
c482c8605455a213,Junior,Albini,Junior Albini,Baby,"6' 3""",264,74,Orthodox,14,6,0,"Mar 15, 1991",3.98,51,6.08,52,1.54,37,100,0.0
184b955181bdef52,Wes,Albritton,Wes Albritton,,"5' 10""",188,--,Orthodox,0,1,0,--,0.0,0,0.0,0,0.0,0,0,0.0
e76d9f656ceb82ab,Aleksandra,Albu,Aleksandra Albu,Stitch,"5' 2""",115,63,Orthodox,3,2,0,"Jul 14, 1990",4.83,47,5.56,38,2.27,50,77,0.4
dd1b90eea08887f6,Israel,Albuquerque,Israel Albuquerque,,--,185,--,Orthodox,0,3,0,--,0.32,13,3.34,25,0.0,0,0,0.0
39f62b833e4cf126,Juan,Alcain,Juan Alcain,,--,--,--,,1,2,0,--,0.0,0,0.0,0,0.0,0,0,0.0
2f95a3c6d58b2aad,Iuri,Alcantara,Iuri Alcantara,Marajo,"5' 9""",135,71,Southpaw,35,10,0 (1 NC),"Aug 04, 1980",2.72,45,2.79,49,1.44,62,60,0.8
7c6e87729e824ef4,Ildemar,Alcantara,Ildemar Alcantara,Marajo,"6' 2""",185,78,Orthodox,21,11,0,"Nov 18, 1982",1.93,38,2.63,50,2.0,68,81,0.9
1e38bba6738b7b10,Alfonso,Alcarez,Alfonso Alcarez,,"5' 3""",145,--,,1,3,1,"Jun 10, 1970",0.0,0,0.0,0,0.0,0,0,0.0
d26934530dc5b248,Gilbert,Aldana,Gilbert Aldana,El Peligro,"6' 1""",250,--,Orthodox,6,2,0,"Aug 25, 1977",2.91,54,6.26,26,2.57,40,33,0.0
578ef12674df1e6a,Irene,Aldana,Irene Aldana,,"5' 9""",135,68,Orthodox,14,6,0,"Mar 26, 1988",5.39,39,5.71,60,0.2,50,81,0.3
c487223b0289bda9,Hector,Aldana,Hector Aldana,,"5' 11""",170,72,Orthodox,4,3,0,"Aug 17, 1988",3.59,38,5.08,59,0.93,100,0,0.0
7460ddef986d3144,Jose,Alday,Jose Alday,Pochito,"5' 7""",135,68,Orthodox,14,6,1,"Sep 14, 1991",3.13,44,3.13,58,0.0,0,57,0.0
d0f3959b4a9747e6,Jose,Aldo,Jose Aldo,,"5' 7""",135,70,Orthodox,31,8,0,"Sep 09, 1986",3.57,46,3.74,60,0.49,54,91,0.1
6fd953151d981979,JJ,Aldrich,JJ Aldrich,,"5' 5""",125,67,Southpaw,11,6,0,"Sep 29, 1992",3.98,45,4.74,59,0.82,25,70,0.0
103e2e33a60683e1,Irina,Alekseeva,Irina Alekseeva,Russian Ronda,"5' 8""",135,67,Orthodox,5,1,0,"Jun 27, 1990",8.24,40,4.12,62,0.0,0,0,6.9
fe5a9547479396ab,Jim,Alers,Jim Alers,The Beast,"5' 9""",145,71,Orthodox,13,3,0 (1 NC),"Oct 14, 1986",2.9,40,4.38,56,2.26,41,80,0.3
7a15f3694c5cbc02,John,Alessio,John Alessio,The Natural,"5' 10""",155,72,Orthodox,35,17,0 (2 NC),"Jul 05, 1979",2.1,39,2.91,54,1.85,38,70,1.2
0541480fbf719d86,Houston,Alexander,Houston Alexander,The Assassin,"6' 0""",205,72,Orthodox,17,15,1 (2 NC),"Mar 22, 1972",3.06,54,3.2,52,1.19,57,33,0.0
8fd76e1b49c00ae2,Kenneth,Alexander,Kenneth Alexander,The Machine,"5' 9""",155,--,Orthodox,7,6,0 (1 NC),"Sep 25, 1977",0.88,19,2.2,66,4.71,26,0,0.0
11583163f45c7b31,Lucas,Alexander,Lucas Alexander,The Lion,"5' 11""",145,73,Orthodox,8,3,0,"Jul 28, 1995",5.05,53,1.76,72,0.0,0,66,0.0
d53482bef23235ba,Marcio,Alexandre Junior,Marcio Alexandre Junior,Lyoto,"6' 0""",185,75,Southpaw,17,4,0,"May 05, 1989",1.61,45,2.89,42,0.35,20,66,0.7
b757c73f443d4fca,Olaf,Alfonso,Olaf Alfonso,,"6' 2""",170,--,Orthodox,8,12,0,"Aug 06, 1974",1.65,38,4.77,53,0.37,7,22,0.7
4b37a0bc2ab4cae1,Pablo,Alfonso,Pablo Alfonso,The Hurricane,"5' 8""",145,--,,9,7,0,"May 09, 1983",0.0,0,0.0,0,0.0,0,0,0.0
41b34b7f11f6d085,Levi,Alford,Levi Alford,,--,--,--,,1,7,0,--,0.0,0,0.0,0,0.0,0,0,0.0
9abc648e76c4493a,Bill,Algeo,Bill Algeo,Senor Perfecto,"6' 0""",145,73,Switch,17,7,0,"Jun 09, 1989",5.93,53,4.32,46,0.87,42,55,0.1
669a3cb6e394f515,Royce,Alger,Royce Alger,,"5' 10""",199,--,Orthodox,3,2,0,--,0.0,0,0.0,0,0.0,0,0,0.0
e17770faae3ca54c,Amir,Aliakbari,Amir Aliakbari,,"6' 3""",250,--,,10,1,0,"Jun 10, 1984",0.0,0,0.0,0,0.0,0,0,0.0
e70de1859b7ee78e,Sultan,Aliev,Sultan Aliev,,"5' 11""",170,74,Orthodox,15,3,0,"Sep 17, 1984",1.41,45,2.2,56,1.76,38,100,0.0
ca28cdf526d6b6e9,Nurullo,Aliev,Nurullo Aliev,Tajik Eagle,"5' 10""",155,72,Orthodox,9,0,0,"Dec 08, 2000",2.5,51,0.46,59,3.06,44,0,0.0
b07aed698fba8624,Ikram,Aliskerov,Ikram Aliskerov,,"6' 0""",185,76,Southpaw,14,1,0,"Dec 07, 1992",6.25,60,7.88,40,3.47,33,0,3.5
6db394bf6c3b017c,Leon,Aliu,Leon Aliu,The Albanian Lion,"6' 0""",185,74,Orthodox,10,2,0,"Jul 14, 1989",6.32,50,10.11,38,0.0,0,0,0.0
6ebe96a116e79e52,John,Allan,John Allan,,"6' 1""",205,75,Orthodox,13,7,0 (1 NC),"Feb 22, 1993",3.56,42,5.74,52,1.4,71,50,0.8
1e13936d708bcff7,George,Allen,George Allen,,"6' 2""",205,--,Open Stance,13,19,2,"Jan 13, 1967",0.8,38,3.1,43,0.0,0,50,0.0
040a74bb0a465c54,Arnold,Allen,Arnold Allen,Almighty,"5' 8""",145,70,Southpaw,19,2,0,"Jan 22, 1994",3.34,40,2.86,61,1.12,50,76,0.3
2f181c0467965b98,Brendan,Allen,Brendan Allen,All In,"6' 2""",185,75,Orthodox,21,5,0,"Dec 28, 1995",3.85,53,3.87,46,1.27,47,55,1.6
c4fe2e9a06ea5bcb,Ben,Alloway,Ben Alloway,Blanco,"5' 11""",170,76,Orthodox,18,8,0,"Feb 19, 1981",1.28,49,1.9,59,0.62,50,26,0.0
8d3273573b85be09,Assu,Almabayev,Assu Almabayev,Zulfikar,--,125,--,,17,2,0,"Jan 25, 1994",0.0,0,0.0,0,0.0,0,0,0.0
91186547a7f3f758,Ricardo,Almeida,Ricardo Almeida,Big Dog,"6' 0""",170,74,Orthodox,13,5,0,"Nov 29, 1976",2.02,49,1.2,61,3.74,38,31,1.2
d615d6a10a4704cd,Magno,Almeida,Magno Almeida,,"6' 0""",155,--,,10,3,0 (1 NC),"Jun 06, 1985",1.67,36,2.6,41,0.0,0,40,5.0
2b074403b7c6cdb4,Thomas,Almeida,Thomas Almeida,Thominhas,"5' 7""",145,70,Southpaw,22,5,0,"Jul 31, 1991",4.84,43,4.93,61,0.17,14,75,0.0
67a992d4cff22466,Ericka,Almeida,Ericka Almeida,,"5' 6""",115,--,Orthodox,7,3,0,"Mar 05, 1989",1.07,39,3.33,43,0.5,33,37,0.0
f16ddfa31236efed,Estefani,Almeida,Estefani Almeida,,"5' 4""",125,--,Orthodox,7,3,0,"Oct 17, 1988",3.13,37,6.07,42,0.0,0,0,0.0
41e83a89929d1327,Jailton,Almeida,Jailton Almeida,Malhadinho,"6' 3""",205,79,Orthodox,19,2,0,"Jun 26, 1991",3.81,64,0.3,25,6.4,68,50,2.5
710f0f8c5d5c9d41,Lucas,Almeida,Lucas Almeida,,"5' 11""",145,71,Orthodox,14,1,0,"Jan 31, 1991",6.6,47,5.63,48,0.0,0,50,0.0
64d47ef881a437a4,Cesar,Almeida,Cesar Almeida,Cesinha,--,185,--,,3,0,0,"Mar 23, 1988",0.0,0,0.0,0,0.0,0,0,0.0
c6bf75775b278ed8,Mauricio,Alonso,Mauricio Alonso,,"6' 2""",170,--,,13,7,0 (1 NC),"Feb 27, 1980",5.74,34,1.91,67,0.0,0,0,0.0
49b130de1da2e1bf,Sarah,Alpar,Sarah Alpar,Too Sweet,"5' 4""",135,63,Southpaw,9,6,0,"Jun 01, 1991",2.36,44,6.06,38,1.61,26,20,0.4
e87a13e02c01331d,Ali,AlQaisi,Ali AlQaisi,The Royal Fighter,"5' 6""",135,68,Orthodox,8,5,0,"Sep 23, 1990",2.43,42,1.97,56,3.5,29,60,1.0
c61b49cec6abd6b9,Rico,Altamirano,Rico Altamirano,,"5' 10""",170,--,,4,3,0,--,0.0,0,0.0,0,0.0,0,0,0.0
dc7927cd622676a7,Victor,Altamirano,Victor Altamirano,El Magnifico,"5' 8""",125,70,Switch,12,2,0,"Jan 23, 1991",6.15,58,4.65,53,2.47,23,74,0.0
c11036da9162cb5f,Mike,Altman,Mike Altman,,"5' 10""",185,--,Orthodox,1,4,0,--,1.56,20,2.08,75,0.0,0,0,0.0
430c533614d45813,Patricia,Alujas,Patricia Alujas,El Angel,--,115,--,,9,2,0,--,0.0,0,0.0,0,0.0,0,0,0.0
e741536153227386,Sean,Alvarez,Sean Alvarez,,"6' 0""",235,--,Orthodox,4,3,0,"Jul 14, 1971",0.89,37,3.25,47,0.0,0,0,0.0
33a331684283900f,Eddie,Alvarez,Eddie Alvarez,,"5' 9""",155,69,Orthodox,29,6,0 (1 NC),"Jan 11, 1984",4.32,41,4.39,55,2.92,36,92,0.5
4438482bd1d5a029,Jaime,Alvarez,Jaime Alvarez,,"5' 8""",125,69,Orthodox,6,1,0,"Mar 08, 1988",2.73,40,4.53,56,1.0,33,50,0.0
58bbef3770bb2dfc,Joel,Alvarez,Joel Alvarez,El Fenomeno,"6' 3""",155,77,Orthodox,19,3,0,"Mar 02, 1993",3.44,44,3.68,49,0.0,0,0,1.2
31ee470ef5dc8d7f,Thiago,Alves,Thiago Alves,Pitbull,"5' 9""",170,70,Orthodox,23,15,0,"Oct 03, 1983",3.73,41,3.42,62,0.71,60,63,0.3
bd92cf5da5413d2a,Anthony,Alves,Anthony Alves,,--,--,--,,1,4,0,--,0.0,0,0.0,0,0.0,0,0,0.0
dc5a6b2fdb27e7dc,Amilcar,Alves,Amilcar Alves,,"6' 0""",170,--,Southpaw,15,12,0,"Aug 08, 1988",0.5,46,2.02,30,0.0,0,53,0.0
d317a5e2b3f88c5f,Warlley,Alves,Warlley Alves,,"5' 11""",170,72,Orthodox,15,6,0,"Jan 04, 1991",3.21,47,4.09,51,1.37,50,80,0.9
029afd138865d20a,Rafael,Alves,Rafael Alves,The Turn,"5' 8""",155,68,Orthodox,20,12,0,"Nov 14, 1990",1.85,48,3.3,58,0.29,25,44,1.5
d156513a19acf856,Sam,Alvey,Sam Alvey,Smile'N,"6' 2""",185,75,Southpaw,33,18,1 (1 NC),"May 06, 1986",3.28,44,3.63,52,0.06,14,82,0.1
20821819c401ced8,Andre,Amado,Andre Amado,Dida,"6' 0""",154,--,Orthodox,6,4,1,--,2.27,24,5.91,63,0.0,0,20,0.0
1e327b281ef6a745,Adlan,Amagov,Adlan Amagov,Borz,"6' 2""",170,76,Orthodox,14,2,1,"Oct 30, 1986",3.29,47,0.82,78,5.84,56,100,0.0
247fbbfafea60bb1,Maiara,Amanajas dos Santos,Maiara Amanajas dos Santos,,"5' 5""",115,--,Southpaw,7,3,0,"Jul 11, 1987",5.53,35,24.47,33,0.0,0,100,0.0
02bb48869eb7ac8f,Rayanne,Amanda,Rayanne Amanda,,"5' 2""",115,62,Orthodox,11,6,0,"Jun 08, 1995",3.67,31,6.87,57,1.0,25,0,0.0
ee0b69e307c857e5,Chris,Amarante,Chris Amarante,,--,185,--,,2,0,0,--,0.0,0,0.0,0,0.0,0,0,0.0
c912f676692c353a,Jimmy,Ambriz,Jimmy Ambriz,The Titan,"6' 2""",315,--,Southpaw,17,21,1,"Jan 26, 1970",0.83,29,3.76,40,3.13,57,100,0.8
d562b12b8fe88336,JJ,Ambrose,JJ Ambrose,,"5' 10""",170,--,Orthodox,28,7,0 (2 NC),--,3.16,69,6.32,33,0.0,0,50,0.0
70fa1c64a2c439ef,Alen,Amedovski,Alen Amedovski,,"5' 10""",185,74,Orthodox,8,4,0,"Apr 06, 1988",0.99,30,3.85,46,0.0,0,0,0.0
41cc71cbf210e0fe,Hyder,Amil,Hyder Amil,The Hurricane,--,145,--,,7,0,0,"May 28, 1990",0.0,0,0.0,0,0.0,0,0,0.0
87a1dc546b1c5caf,Makwan,Amirkhani,Makwan Amirkhani,Mr. Finland,"5' 10""",145,72,Southpaw,17,9,0,"Nov 08, 1988",1.33,44,2.98,46,3.96,43,35,1.1
bc7d1ad49fcb2d08,Jaqueline,Amorim,Jaqueline Amorim,,"5' 3""",115,68,Orthodox,6,1,0,"Jun 24, 1995",0.8,23,3.07,55,2.0,20,0,3.0
53adf5b845d91e4a,Bertrand,Amoussou,Bertrand Amoussou,,"5' 8""",190,--,Orthodox,1,1,0,--,6.75,39,2.01,83,0.0,0,0,0.0
23a8c33869bf5392,Karl,Amoussou,Karl Amoussou,The Psycho,"5' 11""",185,--,Orthodox,27,7,2,"Nov 21, 1985",1.47,34,2.67,54,0.0,0,25,1.0
cad24459b28592ca,Eryk,Anders,Eryk Anders,Ya Boi,"6' 1""",185,75,Southpaw,15,7,0 (1 NC),"Apr 21, 1987",3.39,47,4.22,50,1.59,26,79,0.1
8738eacd62e82a32,Matt,Andersen,Matt Andersen,,"6' 2""",230,--,Southpaw,14,8,1,"May 29, 1971",0.0,0,0.0,0,0.0,0,0,0.0
9199e0735b83dd32,Andy,Anderson,Andy Anderson,The Hammer,"5' 6""",240,--,,0,1,0,"Jul 16, 1974",0.0,0,0.0,0,0.0,0,0,0.0
1ffc38f67785797b,Lowell,Anderson,Lowell Anderson,,"5' 6""",160,--,Orthodox,0,1,0,--,0.0,0,0.0,0,0.0,0,0,0.0
5e4eec08896c9423,Corey,Anderson,Corey Anderson,Overtime,"6' 3""",205,79,Orthodox,14,5,0,"Sep 22, 1989",4.43,46,2.22,59,4.89,50,83,0.0
19ba965651486013,Derek,Anderson,Derek Anderson,Barbaric,"6' 0""",155,--,,14,3,0 (1 NC),"Feb 02, 1990",3.97,37,3.08,61,0.34,14,60,0.0
a0e75f4a13eb73f1,Megan,Anderson,Megan Anderson,,"6' 0""",145,72,Orthodox,11,5,0,"Feb 11, 1990",1.76,46,3.35,37,0.52,25,53,0.5
17615148dd4be6f6,Tatsuya,Ando,Tatsuya Ando,,--,135,--,,13,3,1,"Apr 26, 1990",0.0,0,0.0,0,0.0,0,0,0.0
1562b12763cc8d67,Alex,Andrade,Alex Andrade,El Toro,"5' 11""",200,--,Orthodox,10,5,0,"May 14, 1974",0.2,36,2.6,53,0.0,0,25,0.8
6a1901c62ab3870f,Jessica,Andrade,Jessica Andrade,Bate Estaca,"5' 1""",115,62,Orthodox,24,11,0,"Sep 25, 1991",6.82,50,5.4,54,2.61,54,73,0.4
d221ee27afc7a60e,Viscardi,Andrade,Viscardi Andrade,,"5' 11""",170,75,Orthodox,19,6,0,"Mar 08, 1984",3.26,42,2.77,63,1.93,50,66,0.3
9bad58fa651d6196,Jermaine,Andre,Jermaine Andre,,"5' 7""",200,--,Orthodox,14,4,0,--,0.0,0,0.0,0,0.0,0,0,0.0
1fd9f744105024a8,Juan,Andres Luna,Juan Andres Luna,,"5' 7""",125,72,Orthodox,12,1,0,"Aug 20, 1995",3.27,31,3.0,65,0.0,0,0,0.0
7977fb0fd9c5955d,Fellipe,Andrew,Fellipe Andrew,,--,--,--,,0,0,0,"Oct 24, 1994",0.0,0,0.0,0,0.0,0,0,0.0
00debc804e2b1cd4,Dylan,Andrews,Dylan Andrews,The Villain,"6' 1""",185,74,Switch,18,7,0 (1 NC),"Nov 15, 1979",2.21,50,2.72,46,2.83,50,57,0.4
46e2ca71fd5089cb,Reese,Andy,Reese Andy,Riptide,"6' 0""",205,--,Orthodox,7,3,0,"Mar 31, 1973",2.87,50,3.5,58,0.67,20,40,0.0
d6a3e131ad4ba064,Angga,,Angga,The Hitman,"5' 7""",145,68,Orthodox,13,3,0,"Jan 13, 1989",3.56,38,3.77,53,0.0,0,33,0.0
e20ad078a7d63361,Julius,Anglickas,Julius Anglickas,,"6' 3""",205,--,Orthodox,5,1,0,"Jul 23, 1991",4.62,78,1.86,50,4.47,50,60,1.1
047a91d3d9c79b05,Collin,Anglin,Collin Anglin,,"5' 9""",145,71,Orthodox,8,3,0,"Feb 20, 1993",4.59,48,5.54,51,2.28,66,100,0.0
c7c39e2fb70248b3,Chad,Anheliger,Chad Anheliger,The Monster,"5' 6""",135,64,Orthodox,12,6,0,"Dec 01, 1986",3.51,43,3.31,55,0.0,0,47,1.0
e06fd1260ac865a7,Yoji,Anjo,Yoji Anjo,Mr. 200%,"5' 11""",205,--,Orthodox,0,5,1,"Mar 28, 1967",0.0,0,3.13,25,0.0,0,0,0.0
d802174b0c0c1f4e,Magomed,Ankalaev,Magomed Ankalaev,,"6' 3""",205,75,Orthodox,18,1,1,"Jun 02, 1992",3.55,52,2.15,59,0.99,29,86,0.0
af997f7611673880,Gadzhimurad,Antigulov,Gadzhimurad Antigulov,,"5' 11""",205,70,Orthodox,20,8,0,"Feb 09, 1987",2.08,55,4.21,40,5.08,36,0,1.4
25b31165758402dd,Adam,Antolin,Adam Antolin,Captain Chaos,"5' 5""",125,63,Orthodox,12,3,0,"Feb 28, 1982",5.73,52,5.0,69,0.0,0,100,0.0
dbd198f780286aca,Angelo,Antonio,Angelo Antonio,,--,205,--,Orthodox,1,4,0,--,1.09,50,7.64,50,0.0,0,0,0.0
78d48d3874dacafd,Azunna,Anyanwu,Azunna Anyanwu,Zulu,"6' 1""",251,--,Orthodox,14,5,0,"Aug 05, 1981",2.47,42,2.47,69,0.65,100,0,0.0
4665f9f909cd7214,Shinsho,Anzai,Shinsho Anzai,Animal,"5' 7""",170,70,Orthodox,10,3,0,"Dec 01, 1985",3.23,58,3.75,45,1.83,16,75,0.0
79ded75550efc139,Shinya,Aoki,Shinya Aoki,Tobikan Judan,"5' 11""",154,--,Southpaw,39,7,0 (1 NC),"May 09, 1983",0.97,58,1.25,58,2.54,41,60,4.0
7d420039bbfe7c1a,Aoriqileng,,Aoriqileng,The Mongolian Murderer,"5' 7""",135,69,Orthodox,24,9,0,"Jun 25, 1993",6.07,48,7.18,48,1.57,45,55,0.0
0c1a04afca64e38f,Josh,Appelt,Josh Appelt,,"5' 10""",255,--,Southpaw,15,7,0,"Jun 19, 1983",1.35,40,11.5,32,0.0,0,33,0.0
1ccff7f0cfdf85eb,Erik,Apple,Erik Apple,,"6' 0""",170,--,Orthodox,10,3,0,"Aug 26, 1977",0.0,0,0.54,81,0.0,0,0,8.1
